yyyy MM dd HH:mm      AirMass   SolarZen       Azim
2020 01 01 00:00     -1.00000  143.78432  317.41582
2020 01 01 00:10     -1.00000  144.75217  320.98815
2020 01 01 00:20     -1.00000  145.64681  324.70042
2020 01 01 00:30     -1.00000  146.46160  328.55185
2020 01 01 00:40     -1.00000  147.18990  332.53860
2020 01 01 00:50     -1.00000  147.82523  336.65334
2020 01 01 01:00     -1.00000  148.36144  340.88486
2020 01 01 01:10     -1.00000  148.79300  345.21798
2020 01 01 01:20     -1.00000  149.11516  349.63362
2020 01 01 01:30     -1.00000  149.32421  354.10931
2020 01 01 01:40     -1.00000  149.41766  358.61991
2020 01 01 01:50     -1.00000  149.39438    3.13871
2020 01 01 02:00     -1.00000  149.25465    7.63858
2020 01 01 02:10     -1.00000  149.00015   12.09330
2020 01 01 02:20     -1.00000  148.63386   16.47868
2020 01 01 02:30     -1.00000  148.15994   20.77352
2020 01 01 02:40     -1.00000  147.58347   24.96025
2020 01 01 02:50     -1.00000  146.91025   29.02526
2020 01 01 03:00     -1.00000  146.14659   32.95892
2020 01 01 03:10     -1.00000  145.29904   36.75532
2020 01 01 03:20     -1.00000  144.37428   40.41191
2020 01 01 03:30     -1.00000  143.37887   43.92897
2020 01 01 03:40     -1.00000  142.31922   47.30908
2020 01 01 03:50     -1.00000  141.20146   50.55659
2020 01 01 04:00     -1.00000  140.03136   53.67717
2020 01 01 04:10     -1.00000  138.81438   56.67739
2020 01 01 04:20     -1.00000  137.55556   59.56436
2020 01 01 04:30     -1.00000  136.25960   62.34550
2020 01 01 04:40     -1.00000  134.93084   65.02828
2020 01 01 04:50     -1.00000  133.57327   67.62011
2020 01 01 05:00     -1.00000  132.19059   70.12821
2020 01 01 05:10     -1.00000  130.78618   72.55953
2020 01 01 05:20     -1.00000  129.36319   74.92072
2020 01 01 05:30     -1.00000  127.92452   77.21807
2020 01 01 05:40     -1.00000  126.47286   79.45754
2020 01 01 05:50     -1.00000  125.01071   81.64474
2020 01 01 06:00     -1.00000  123.54043   83.78493
2020 01 01 06:10     -1.00000  122.06421   85.88305
2020 01 01 06:20     -1.00000  120.58412   87.94374
2020 01 01 06:30     -1.00000  119.10213   89.97134
2020 01 01 06:40     -1.00000  117.62010   91.96993
2020 01 01 06:50     -1.00000  116.13983   93.94333
2020 01 01 07:00     -1.00000  114.66305   95.89513
2020 01 01 07:10     -1.00000  113.19142   97.82873
2020 01 01 07:20     -1.00000  111.72657   99.74730
2020 01 01 07:30     -1.00000  110.27009  101.65385
2020 01 01 07:40     -1.00000  108.82353  103.55123
2020 01 01 07:50     -1.00000  107.38846  105.44212
2020 01 01 08:00     -1.00000  105.96638  107.32906
2020 01 01 08:10     -1.00000  104.55883  109.21448
2020 01 01 08:20     -1.00000  103.16732  111.10064
2020 01 01 08:30     -1.00000  101.79338  112.98974
2020 01 01 08:40     -1.00000  100.43855  114.88381
2020 01 01 08:50     -1.00000   99.10436  116.78481
2020 01 01 09:00     -1.00000   97.79237  118.69458
