yyyy MM dd HH:mm      AirMass   SolarZen       Azim
2020 01 01 00:00     -1.00000  154.77570    3.67524
2020 01 01 00:10     -1.00000  154.59082    9.03697
2020 01 01 00:20     -1.00000  154.25341   14.30720
2020 01 01 00:30     -1.00000  153.76959   19.43918
2020 01 01 00:40     -1.00000  153.14758   24.39513
2020 01 01 00:50     -1.00000  152.39714   29.14756
2020 01 01 01:00     -1.00000  151.52891   33.67918
2020 01 01 01:10     -1.00000  150.55389   37.98196
2020 01 01 01:20     -1.00000  149.48295   42.05549
2020 01 01 01:30     -1.00000  148.32656   45.90532
2020 01 01 01:40     -1.00000  147.09449   49.54118
2020 01 01 01:50     -1.00000  145.79576   52.97557
2020 01 01 02:00     -1.00000  144.43859   56.22253
2020 01 01 02:10     -1.00000  143.03035   59.29674
2020 01 01 02:20     -1.00000  141.57768   62.21290
2020 01 01 02:30     -1.00000  140.08647   64.98529
2020 01 01 02:40     -1.00000  138.56199   67.62747
2020 01 01 02:50     -1.00000  137.00894   70.15216
2020 01 01 03:00     -1.00000  135.43149   72.57118
2020 01 01 03:10     -1.00000  133.83340   74.89539
2020 01 01 03:20     -1.00000  132.21802   77.13475
2020 01 01 03:30     -1.00000  130.58839   79.29839
2020 01 01 03:40     -1.00000  128.94726   81.39462
2020 01 01 03:50     -1.00000  127.29714   83.43103
2020 01 01 04:00     -1.00000  125.64033   85.41456
2020 01 01 04:10     -1.00000  123.97896   87.35155
2020 01 01 04:20     -1.00000  122.31500   89.24779
2020 01 01 04:30     -1.00000  120.65033   91.10861
2020 01 01 04:40     -1.00000  118.98668   92.93893
2020 01 01 04:50     -1.00000  117.32573   94.74326
2020 01 01 05:00     -1.00000  115.66908   96.52581
2020 01 01 05:10     -1.00000  114.01828   98.29048
2020 01 01 05:20     -1.00000  112.37483  100.04089
2020 01 01 05:30     -1.00000  110.74022  101.78047
2020 01 01 05:40     -1.00000  109.11589  103.51240
2020 01 01 05:50     -1.00000  107.50330  105.23971
