Date,Time,Azimuth angle,Hour angle,Zenith angle (ETR)
1/1/2020,0:00:00,245.3669,176.2334,99.0000
1/1/2020,0:10:00,245.3677,178.7324,99.0000
1/1/2020,0:20:00,114.6315,-178.7685,99.0000
1/1/2020,0:30:00,114.6307,-176.2694,99.0000
1/1/2020,0:40:00,114.6299,-173.7699,99.0000
1/1/2020,0:50:00,114.6291,-171.2708,99.0000
1/1/2020,1:00:00,114.6283,-168.7718,99.0000
1/1/2020,1:10:00,114.6274,-166.2727,99.0000
1/1/2020,1:20:00,114.6266,-163.7736,99.0000
1/1/2020,1:30:00,114.6258,-161.2741,99.0000
1/1/2020,1:40:00,114.6250,-158.7750,99.0000
1/1/2020,1:50:00,114.6242,-156.2760,99.0000
1/1/2020,2:00:00,114.6234,-153.7769,99.0000
1/1/2020,2:10:00,114.6225,-151.2774,99.0000
1/1/2020,2:20:00,114.6217,-148.7782,99.0000
1/1/2020,2:30:00,114.6209,-146.2792,99.0000
1/1/2020,2:40:00,114.6201,-143.7801,99.0000
1/1/2020,2:50:00,114.6193,-141.2810,99.0000
1/1/2020,3:00:00,114.6184,-138.7815,99.0000
1/1/2020,3:10:00,114.6176,-136.2824,99.0000
1/1/2020,3:20:00,114.6168,-133.7834,99.0000
1/1/2020,3:30:00,114.6160,-131.2843,99.0000
1/1/2020,3:40:00,114.6152,-128.7847,99.0000
1/1/2020,3:50:00,114.6143,-126.2857,99.0000
1/1/2020,4:00:00,114.6135,-123.7866,99.0000
1/1/2020,4:10:00,114.6127,-121.2876,99.0000
1/1/2020,4:20:00,114.6119,-118.7885,99.0000
1/1/2020,4:30:00,114.6110,-116.2889,99.0000
1/1/2020,4:40:00,114.6102,-113.7898,99.0000
1/1/2020,4:50:00,114.6094,-111.2908,99.0000
1/1/2020,5:00:00,114.6085,-108.7917,99.0000
1/1/2020,5:10:00,114.6077,-106.2922,99.0000
1/1/2020,5:20:00,114.6069,-103.7931,99.0000
1/1/2020,5:30:00,114.6061,-101.2941,99.0000
1/1/2020,5:40:00,114.6052,-98.7950,99.0000
1/1/2020,5:50:00,114.6044,-96.2959,99.0000
1/1/2020,6:00:00,114.6036,-93.7964,99.0000
1/1/2020,6:10:00,114.6027,-91.2973,99.0000
1/1/2020,6:20:00,114.6019,-88.7982,99.0000
1/1/2020,6:30:00,114.6011,-86.2992,99.0000
1/1/2020,6:40:00,114.6002,-83.7996,99.0000
1/1/2020,6:50:00,114.5994,-81.3005,99.0000
1/1/2020,7:00:00,114.5986,-78.8015,99.0000
1/1/2020,7:10:00,115.3616,-76.3024,98.3382
1/1/2020,7:20:00,117.1200,-73.8033,96.8379
1/1/2020,7:30:00,118.8934,-71.3038,95.3609
1/1/2020,7:40:00,120.6830,-68.8047,93.9093
1/1/2020,7:50:00,122.4911,-66.3056,92.4844
1/1/2020,8:00:00,124.3193,-63.8066,91.0881
1/1/2020,8:10:00,126.1698,-61.3070,89.7217
1/1/2020,8:20:00,128.0435,-58.8079,88.3877
1/1/2020,8:30:00,129.9420,-56.3089,87.0876
1/1/2020,8:40:00,131.8669,-53.8098,85.8233
1/1/2020,8:50:00,133.8191,-51.3107,84.5967
1/1/2020,9:00:00,135.8003,-48.8112,83.4097
1/1/2020,9:10:00,137.8106,-46.3121,82.2646
1/1/2020,9:20:00,139.8509,-43.8131,81.1634
1/1/2020,9:30:00,141.9220,-41.3139,80.1079
1/1/2020,9:40:00,144.0244,-38.8144,79.1003
1/1/2020,9:50:00,146.1574,-36.3153,78.1428
1/1/2020,10:00:00,148.3213,-33.8163,77.2374
1/1/2020,10:10:00,150.5158,-31.3172,76.3861
1/1/2020,10:20:00,152.7401,-28.8181,75.5910
1/1/2020,10:30:00,154.9936,-26.3186,74.8538
1/1/2020,10:40:00,157.2745,-23.8195,74.1766
1/1/2020,10:50:00,159.5814,-21.3204,73.5613
1/1/2020,11:00:00,161.9127,-18.8213,73.0093
1/1/2020,11:10:00,164.2666,-16.3218,72.5223
1/1/2020,11:20:00,166.6400,-13.8228,72.1017
1/1/2020,11:30:00,169.0307,-11.3236,71.7488
1/1/2020,11:40:00,171.4359,-8.8246,71.4645
1/1/2020,11:50:00,173.8527,-6.3255,71.2499
1/1/2020,12:00:00,176.2784,-3.8260,71.1055
1/1/2020,12:10:00,178.7088,-1.3269,71.0318
1/1/2020,12:20:00,181.1411,1.1721,71.0290
1/1/2020,12:30:00,183.5714,3.6712,71.0972
1/1/2020,12:40:00,185.9975,6.1708,71.2362
1/1/2020,12:50:00,188.4151,8.6699,71.4454
1/1/2020,13:00:00,190.8215,11.1689,71.7242
1/1/2020,13:10:00,193.2135,13.6680,72.0719
1/1/2020,13:20:00,195.5885,16.1671,72.4872
1/1/2020,13:30:00,197.9442,18.6666,72.9692
1/1/2020,13:40:00,200.2774,21.1657,73.5161
1/1/2020,13:50:00,202.5865,23.6648,74.1266
1/1/2020,14:00:00,204.8696,26.1638,74.7990
1/1/2020,14:10:00,207.1256,28.6634,75.5316
1/1/2020,14:20:00,209.3525,31.1625,76.3223
1/1/2020,14:30:00,211.5495,33.6615,77.1692
1/1/2020,14:40:00,213.7162,36.1606,78.0705
1/1/2020,14:50:00,215.8519,38.6597,79.0239
1/1/2020,15:00:00,217.9571,41.1592,80.0277
1/1/2020,15:10:00,220.0309,43.6583,81.0795
1/1/2020,15:20:00,222.0741,46.1574,82.1772
1/1/2020,15:30:00,224.0871,48.6565,83.3189
1/1/2020,15:40:00,226.0710,51.1560,84.5026
1/1/2020,15:50:00,228.0261,53.6551,85.7261
1/1/2020,16:00:00,229.9535,56.1541,86.9874
1/1/2020,16:10:00,231.8547,58.6533,88.2848
1/1/2020,16:20:00,233.7309,61.1523,89.6161
1/1/2020,16:30:00,235.5838,63.6518,90.9799
1/1/2020,16:40:00,237.4145,66.1509,92.3738
1/1/2020,16:50:00,239.2248,68.6500,93.7964
1/1/2020,17:00:00,241.0166,71.1491,95.2459
